Ra: Va                    Vw
1320: 23.780796            0.081134
1330: 23.685520            0.081749
1340: 23.591295            0.082363
1350: 23.498102            0.082978
1360: 23.405922            0.083593
1370: 23.314737            0.084207
1380: 23.224529            0.084822
1390: 23.135279            0.085437
1400: 23.046972            0.086051
1410: 22.959591            0.086666
1420: 22.873117            0.087281
1430: 22.787539            0.087895
1440: 22.702837            0.088510
1450: 22.618998            0.089124
1460: 22.536007            0.089739
1470: 22.453852            0.090354
1480: 22.372513            0.090968
1490: 22.291983            0.091583
1500: 22.212244            0.092198
1510: 22.133286            0.092812
1520: 22.055094            0.093427
1530: 21.977655            0.094042
1540: 21.900961            0.094656
1550: 21.824995            0.095271
1560: 21.749750            0.095886
1570: 21.675209            0.096500
1580: 21.601368            0.097115
1590: 21.528210            0.097730
1600: 21.455727            0.098344
1610: 21.383905            0.098959
1620: 21.312740            0.099574
1630: 21.242220            0.100188
1640: 21.172333            0.100803
1650: 21.103069            0.101417
1660: 21.034424            0.102032
1670: 20.966381            0.102647
1680: 20.898935            0.103261
1690: 20.832081            0.103876
1700: 20.765804            0.104491
1710: 20.700100            0.105105
1720: 20.634958            0.105720
1730: 20.570372            0.106335
1740: 20.506332            0.106949
1750: 20.442833            0.107564
1760: 20.379862            0.108179
1770: 20.317419            0.108793
1780: 20.255489            0.109408
1790: 20.194073            0.110023
1800: 20.133156            0.110637
1810: 20.072737            0.111252
1820: 20.012806            0.111867
1830: 19.953358            0.112481
1840: 19.894386            0.113096
1850: 19.835882            0.113711
1860: 19.777843            0.114325
1870: 19.720259            0.114940
1880: 19.663128            0.115554
1890: 19.606440            0.116169
1900: 19.550194            0.116784
1910: 19.494379            0.117398
1920: 19.438992            0.118013
1930: 19.384029            0.118628
1940: 19.329481            0.119242
1950: 19.275347            0.119857
1960: 19.221617            0.120472
1970: 19.168289            0.121086
1980: 19.115358            0.121701
1990: 19.062819            0.122316
2000: 19.010666            0.122930
2010: 18.958895            0.123545
2020: 18.907499            0.124160
2030: 18.856478            0.124774
2040: 18.805824            0.125389
2050: 18.755533            0.126004
2060: 18.705603            0.126618
2070: 18.656025            0.127233
2080: 18.606798            0.127848
2090: 18.557919            0.128462
2100: 18.509382            0.129077
2110: 18.461182            0.129691
2120: 18.413317            0.130306
2130: 18.365782            0.130921
2140: 18.318575            0.131535
2150: 18.271688            0.132150
2160: 18.225122            0.132765
2170: 18.178871            0.133379
2180: 18.132933            0.133994
2190: 18.087301            0.134609
2200: 18.041975            0.135223
2210: 17.996952            0.135838
2220: 17.952225            0.136453
2230: 17.907795            0.137067
2240: 17.863653            0.137682
2250: 17.819801            0.138297
2260: 17.776236            0.138911
2270: 17.732950            0.139526
2280: 17.689945            0.140141
2290: 17.647215            0.140755
2300: 17.604757            0.141370
2310: 17.562571            0.141984
2320: 17.520651            0.142599
2330: 17.478996            0.143214
2340: 17.437601            0.143828
2350: 17.396465            0.144443
2360: 17.355587            0.145058
2370: 17.314960            0.145672
2380: 17.274586            0.146287
2390: 17.234459            0.146902
2400: 17.194576            0.147516
2410: 17.154938            0.148131
2420: 17.115540            0.148746
2430: 17.076380            0.149360
2440: 17.037455            0.149975
2450: 16.998764            0.150590
2460: 16.960302            0.151204
2470: 16.922073            0.151819
2480: 16.884066            0.152434
2490: 16.846285            0.153048
2500: 16.808725            0.153663
2510: 16.771385            0.154278
2520: 16.734264            0.154892
2530: 16.697357            0.155507
2540: 16.660664            0.156121
2550: 16.624180            0.156736
2560: 16.587908            0.157351
2570: 16.551842            0.157965
2580: 16.515980            0.158580
2590: 16.480322            0.159195
2600: 16.444866            0.159809
2610: 16.409609            0.160424
2620: 16.374550            0.161039
2630: 16.339685            0.161653
2640: 16.305014            0.162268
2650: 16.270535            0.162883
2660: 16.236248            0.163497
2670: 16.202147            0.164112
2680: 16.168234            0.164727
2690: 16.134506            0.165341
2700: 16.100960            0.165956
2710: 16.067598            0.166571
2720: 16.034414            0.167185
2730: 16.001408            0.167800
2740: 15.968580            0.168415
2750: 15.935926            0.169029
2760: 15.903447            0.169644
2770: 15.871140            0.170258
2780: 15.839002            0.170873
2790: 15.807034            0.171488
2800: 15.775232            0.172102
2810: 15.743598            0.172717
2820: 15.712127            0.173332
2830: 15.680820            0.173946
2840: 15.649673            0.174561
2850: 15.618689            0.175176
2860: 15.587862            0.175790
2870: 15.557192            0.176405
2880: 15.526680            0.177020
2890: 15.496322            0.177634
2900: 15.466117            0.178249
2910: 15.436065            0.178864
2920: 15.406163            0.179478
2930: 15.376410            0.180093
2940: 15.346807            0.180708
2950: 15.317351            0.181322
2960: 15.288040            0.181937
2970: 15.258875            0.182552
2980: 15.229852            0.183166
2990: 15.200973            0.183781
3000: 15.172233            0.184395
3010: 15.143634            0.185010
3020: 15.115174            0.185625
3030: 15.086852            0.186239
3040: 15.058666            0.186854
3050: 15.030616            0.187469
3060: 15.002700            0.188083
3070: 14.974917            0.188698
3080: 14.947267            0.189313
3090: 14.919746            0.189927
3100: 14.892358            0.190542
3110: 14.865098            0.191157
3120: 14.837966            0.191771
3130: 14.810961            0.192386
3140: 14.784081            0.193001
3150: 14.757328            0.193615
3160: 14.730699            0.194230
3170: 14.704191            0.194845
3180: 14.677807            0.195459
3190: 14.651544            0.196074
3200: 14.625401            0.196688
3210: 14.599377            0.197303
3220: 14.573472            0.197918
3230: 14.547684            0.198532
3240: 14.522014            0.199147
3250: 14.496458            0.199762
3260: 14.471017            0.200376
3270: 14.445691            0.200991
3280: 14.420478            0.201606
3290: 14.395377            0.202220
3300: 14.370387            0.202835
3310: 14.345509            0.203450
3320: 14.320740            0.204064
3330: 14.296080            0.204679
3340: 14.271527            0.205294
3350: 14.247083            0.205908
3360: 14.222745            0.206523
3370: 14.198514            0.207138
3380: 14.174387            0.207752
3390: 14.150364            0.208367
3400: 14.126444            0.208982
3410: 14.102629            0.209596
3420: 14.078914            0.210211
3430: 14.055301            0.210825
3440: 14.031788            0.211440
3450: 14.008376            0.212055
3460: 13.985063            0.212669
3470: 13.961848            0.213284
3480: 13.938730            0.213899
3490: 13.915710            0.214513
3500: 13.892787            0.215128
3510: 13.869959            0.215743
3520: 13.847225            0.216357
3530: 13.824586            0.216972
3540: 13.802042            0.217587
3550: 13.779590            0.218201
3560: 13.757230            0.218816
3570: 13.734962            0.219431
3580: 13.712786            0.220045
3590: 13.690700            0.220660
3600: 13.668703            0.221275
3610: 13.646796            0.221889
3620: 13.624978            0.222504
3630: 13.603248            0.223118
3640: 13.581605            0.223733
3650: 13.560049            0.224348
3660: 13.538580            0.224962
3670: 13.517196            0.225577
3680: 13.495897            0.226192
3690: 13.474683            0.226806
3700: 13.453552            0.227421
3710: 13.432507            0.228036
3720: 13.411542            0.228650
3730: 13.390661            0.229265
3740: 13.369861            0.229880
3750: 13.349142            0.230494
3760: 13.328506            0.231109
3770: 13.307948            0.231724
3780: 13.287470            0.232338
3790: 13.267071            0.232953
3800: 13.246752            0.233568
3810: 13.226509            0.234182
3820: 13.206345            0.234797
3830: 13.186257            0.235412
3840: 13.166248            0.236026
3850: 13.146314            0.236641
3860: 13.126455            0.237255
3870: 13.106671            0.237870
3880: 13.086963            0.238485
3890: 13.067328            0.239099
3900: 13.047769            0.239714
3910: 13.028281            0.240329
3920: 13.008866            0.240943
3930: 12.989525            0.241558
3940: 12.970254            0.242173
3950: 12.951056            0.242787
3960: 12.931928            0.243402
3970: 12.912870            0.244017
3980: 12.893884            0.244631
3990: 12.874967            0.245246
4000: 12.856119            0.245861
4010: 12.837339            0.246475
4020: 12.818630            0.247090
4030: 12.799988            0.247705
4040: 12.781412            0.248319
4050: 12.762904            0.248934
4060: 12.744464            0.249549
4070: 12.726089            0.250163
4080: 12.707781            0.250778
4090: 12.689538            0.251392
4100: 12.671360            0.252007
4110: 12.653248            0.252622
4120: 12.635200            0.253236
4130: 12.617215            0.253851
4140: 12.599295            0.254466
4150: 12.581438            0.255080
4160: 12.563643            0.255695
4170: 12.545911            0.256310
4180: 12.528241            0.256924
4190: 12.510633            0.257539
4200: 12.493087            0.258154
4210: 12.475601            0.258768
4220: 12.458177            0.259383
4230: 12.440812            0.259998
4240: 12.423508            0.260612
4250: 12.406263            0.261227
4260: 12.389078            0.261842
4270: 12.371952            0.262456
4280: 12.354884            0.263071
4290: 12.337875            0.263685
4300: 12.320924            0.264300
4310: 12.304030            0.264915
4320: 12.287194            0.265529
4330: 12.270414            0.266144
4340: 12.253692            0.266759
4350: 12.237025            0.267373
4360: 12.220416            0.267988
4370: 12.203861            0.268603
4380: 12.187363            0.269217
4390: 12.170918            0.269832
4400: 12.154529            0.270447
4410: 12.138195            0.271061
4420: 12.121914            0.271676
4430: 12.105687            0.272291
4440: 12.089514            0.272905
4450: 12.073395            0.273520
4460: 12.057327            0.274135
4470: 12.041313            0.274749
4480: 12.025352            0.275364
4490: 12.009442            0.275979
4500: 11.993585            0.276593
4510: 11.977778            0.277208
4520: 11.962024            0.277822
4530: 11.946320            0.278437
4540: 11.930667            0.279052
4550: 11.915064            0.279666
4560: 11.899511            0.280281
4570: 11.884008            0.280896
4580: 11.868556            0.281510
4590: 11.853152            0.282125
4600: 11.837798            0.282740
4610: 11.822492            0.283354
4620: 11.807235            0.283969
4630: 11.792027            0.284584
4640: 11.776866            0.285198
4650: 11.761753            0.285813
4660: 11.746688            0.286428
4670: 11.731670            0.287042
4680: 11.716699            0.287657
4690: 11.701775            0.288272
4700: 11.686897            0.288886
4710: 11.672067            0.289501
4720: 11.657282            0.290116
4730: 11.642543            0.290730
4740: 11.627849            0.291345
4750: 11.613200            0.291959
4760: 11.598598            0.292574
4770: 11.584040            0.293189
4780: 11.569527            0.293803
4790: 11.555058            0.294418
4800: 11.540632            0.295033
4810: 11.526253            0.295647
4820: 11.511915            0.296262
4830: 11.497622            0.296877
4840: 11.483372            0.297491
4850: 11.469165            0.298106
4860: 11.455001            0.298721
4870: 11.440880            0.299335
4880: 11.426800            0.299950
4890: 11.412764            0.300565
4900: 11.398769            0.301179
4910: 11.384816            0.301794
4920: 11.370905            0.302409
4930: 11.357036            0.303023
4940: 11.343207            0.303638
4950: 11.329419            0.304252
4960: 11.315673            0.304867
4970: 11.301967            0.305482
4980: 11.288301            0.306096
4990: 11.274675            0.306711
5000: 11.261090            0.307326
5010: 11.247544            0.307940
5020: 11.234038            0.308555
5030: 11.220572            0.309170
5040: 11.207144            0.309784
5050: 11.193755            0.310399
5060: 11.180407            0.311014
5070: 11.167095            0.311628
5080: 11.153823            0.312243
5090: 11.140589            0.312858
5100: 11.127393            0.313472
5110: 11.114235            0.314087
5120: 11.101114            0.314702
5130: 11.088031            0.315316
5140: 11.074986            0.315931
5150: 11.061978            0.316546
5160: 11.049006            0.317160
5170: 11.036072            0.317775
5180: 11.023174            0.318389
5190: 11.010313            0.319004
5200: 10.997488            0.319619
5210: 10.984699            0.320233
5220: 10.971947            0.320848
5230: 10.959230            0.321463
5240: 10.946548            0.322077
5250: 10.933903            0.322692
5260: 10.921292            0.323307
5270: 10.908717            0.323921
5280: 10.896177            0.324536
5290: 10.883671            0.325151
5300: 10.871201            0.325765
5310: 10.858764            0.326380
5320: 10.846362            0.326995
5330: 10.833995            0.327609
5340: 10.821661            0.328224
5350: 10.809361            0.328839
5360: 10.797094            0.329453
5370: 10.784862            0.330068
5380: 10.772663            0.330683
5390: 10.760496            0.331297
5400: 10.748363            0.331912
5410: 10.736263            0.332526
5420: 10.724197            0.333141
5430: 10.712163            0.333756
5440: 10.700161            0.334370
5450: 10.688191            0.334985
5460: 10.676253            0.335600
5470: 10.664349            0.336214
5480: 10.652475            0.336829
5490: 10.640634            0.337444
5500: 10.628824            0.338058
5510: 10.617046            0.338673
5520: 10.605299            0.339288
5530: 10.593583            0.339902
5540: 10.581899            0.340517
5550: 10.570245            0.341132
5560: 10.558622            0.341746
5570: 10.547029            0.342361
5580: 10.535468            0.342976
5590: 10.523937            0.343590
5600: 10.512437            0.344205
5610: 10.500966            0.344819
5620: 10.489524            0.345434
5630: 10.478113            0.346049
5640: 10.466733            0.346663
5650: 10.455381            0.347278
5660: 10.444059            0.347893
5670: 10.432767            0.348507
5680: 10.421503            0.349122
5690: 10.410269            0.349737
5700: 10.399064            0.350351
5710: 10.387887            0.350966
5720: 10.376740            0.351581
5730: 10.365621            0.352195
5740: 10.354530            0.352810
5750: 10.343469            0.353425
5760: 10.332434            0.354039
5770: 10.321428            0.354654
5780: 10.310451            0.355269
5790: 10.299500            0.355883
5800: 10.288579            0.356498
5810: 10.277684            0.357113
5820: 10.266818            0.357727
5830: 10.255979            0.358342
5840: 10.245166            0.358956
5850: 10.234382            0.359571
5860: 10.223624            0.360186
5870: 10.212893            0.360800
5880: 10.202189            0.361415
5890: 10.191512            0.362030
5900: 10.180861            0.362644
5910: 10.170238            0.363259
5920: 10.159639            0.363874
5930: 10.149068            0.364488
5940: 10.138523            0.365103
5950: 10.128004            0.365718
5960: 10.117512            0.366332
5970: 10.107044            0.366947
5980: 10.096602            0.367562
5990: 10.086187            0.368176
6000: 10.075797            0.368791
6010: 10.065433            0.369406
6020: 10.055094            0.370020
6030: 10.044779            0.370635
6040: 10.034491            0.371249
6050: 10.024227            0.371864
6060: 10.013988            0.372479
6070: 10.003774            0.373093
6080: 9.993585            0.373708
6090: 9.983419            0.374323
6100: 9.973280            0.374937
6110: 9.963164            0.375552
6120: 9.953073            0.376167
6130: 9.943006            0.376781
6140: 9.932962            0.377396
6150: 9.922944            0.378011
6160: 9.912950            0.378625
6170: 9.902978            0.379240
6180: 9.893031            0.379855
6190: 9.883108            0.380469
6200: 9.873207            0.381084
6210: 9.863332            0.381699
6220: 9.853478            0.382313
6230: 9.843649            0.382928
6240: 9.833842            0.383543
6250: 9.824059            0.384157
6260: 9.814299            0.384772
6270: 9.804562            0.385386
6280: 9.794847            0.386001
6290: 9.785154            0.386616
6300: 9.775486            0.387230
6310: 9.765840            0.387845
6320: 9.756216            0.388460
6330: 9.746614            0.389074
6340: 9.737035            0.389689
6350: 9.727478            0.390304
6360: 9.717943            0.390918
6370: 9.708430            0.391533
6380: 9.698939            0.392148
6390: 9.689470            0.392762
6400: 9.680024            0.393377
6410: 9.670599            0.393992
6420: 9.661195            0.394606
6430: 9.651814            0.395221
6440: 9.642452            0.395836
6450: 9.633114            0.396450
6460: 9.623796            0.397065
6470: 9.614499            0.397680
6480: 9.605224            0.398294
6490: 9.595969            0.398909
6500: 9.586736            0.399523
6510: 9.577524            0.400138
6520: 9.568333            0.400753
6530: 9.559161            0.401367
6540: 9.550012            0.401982
6550: 9.540882            0.402597
6560: 9.531774            0.403211
6570: 9.522685            0.403826
6580: 9.513618            0.404441
6590: 9.504569            0.405055
6600: 9.495543            0.405670
6610: 9.486535            0.406285
6620: 9.477548            0.406899
6630: 9.468580            0.407514
6640: 9.459634            0.408129
6650: 9.450706            0.408743
6660: 9.441798            0.409358
6670: 9.432910            0.409973
6680: 9.424043            0.410587
6690: 9.415194            0.411202
6700: 9.406364            0.411817
6710: 9.397555            0.412431
6720: 9.388764            0.413046
6730: 9.379993            0.413660
6740: 9.371242            0.414275
6750: 9.362509            0.414890
6760: 9.353796            0.415504
6770: 9.345100            0.416119
6780: 9.336426            0.416734
6790: 9.327768            0.417348
6800: 9.319130            0.417963
6810: 9.310512            0.418578
6820: 9.301911            0.419192
6830: 9.293329            0.419807
6840: 9.284766            0.420422
6850: 9.276221            0.421036
6860: 9.267694            0.421651
6870: 9.259187            0.422266
6880: 9.250696            0.422880
6890: 9.242225            0.423495
6900: 9.233771            0.424110
6910: 9.225336            0.424724
6920: 9.216919            0.425339
6930: 9.208519            0.425953
6940: 9.200138            0.426568
6950: 9.191774            0.427183
6960: 9.183429            0.427797
6970: 9.175100            0.428412
6980: 9.166789            0.429027
6990: 9.158497            0.429641
7000: 9.150221            0.430256
7010: 9.141963            0.430871
7020: 9.133722            0.431485
7030: 9.125500            0.432100
7040: 9.117293            0.432715
7050: 9.109104            0.433329
7060: 9.100933            0.433944
7070: 9.092778            0.434559
7080: 9.084641            0.435173
7090: 9.076521            0.435788
7100: 9.068418            0.436403
7110: 9.060330            0.437017
7120: 9.052260            0.437632
7130: 9.044208            0.438247
7140: 9.036171            0.438861
7150: 9.028152            0.439476
7160: 9.020148            0.440091
7170: 9.012161            0.440705
7180: 9.004191            0.441320
7190: 8.996237            0.441934
7200: 8.988300            0.442549
7210: 8.980379            0.443164
7220: 8.972474            0.443778
7230: 8.964585            0.444393
7240: 8.956713            0.445008
7250: 8.948856            0.445622
7260: 8.941015            0.446237
7270: 8.933190            0.446852
7280: 8.925382            0.447466
7290: 8.917589            0.448081
7300: 8.909813            0.448696
7310: 8.902052            0.449310
7320: 8.894305            0.449925
7330: 8.886576            0.450540
7340: 8.878861            0.451154
7350: 8.871163            0.451769
7360: 8.863480            0.452384
7370: 8.855812            0.452998
7380: 8.848160            0.453613
7390: 8.840523            0.454227
7400: 8.832901            0.454842
7410: 8.825294            0.455457
7420: 8.817703            0.456071
7430: 8.810127            0.456686
7440: 8.802567            0.457301
7450: 8.795020            0.457915
7460: 8.787489            0.458530
7470: 8.779973            0.459145
7480: 8.772471            0.459759
7490: 8.764986            0.460374
7500: 8.757514            0.460989
7510: 8.750057            0.461603
7520: 8.742616            0.462218
7530: 8.735188            0.462833
7540: 8.727775            0.463447
7550: 8.720377            0.464062
7560: 8.712993            0.464677
7570: 8.705624            0.465291
7580: 8.698269            0.465906
7590: 8.690928            0.466521
7600: 8.683602            0.467135
7610: 8.676291            0.467750
7620: 8.668993            0.468364
7630: 8.661709            0.468979
7640: 8.654440            0.469594
7650: 8.647184            0.470208
7660: 8.639944            0.470823
7670: 8.632716            0.471438
7680: 8.625504            0.472052
7690: 8.618304            0.472667
7700: 8.611119            0.473282
7710: 8.603947            0.473896
7720: 8.596789            0.474511
7730: 8.589645            0.475126
7740: 8.582516            0.475740
7750: 8.575398            0.476355
7760: 8.568295            0.476970
7770: 8.561206            0.477584
7780: 8.554130            0.478199
7790: 8.547068            0.478814
7800: 8.540018            0.479428
7810: 8.532983            0.480043
7820: 8.525960            0.480657
7830: 8.518951            0.481272
7840: 8.511956            0.481887
7850: 8.504973            0.482501
7860: 8.498004            0.483116
7870: 8.491048            0.483731
7880: 8.484105            0.484345
7890: 8.477175            0.484960
7900: 8.470259            0.485575
7910: 8.463354            0.486189
7920: 8.456463            0.486804
7930: 8.449585            0.487419
7940: 8.442720            0.488033
7950: 8.435867            0.488648
7960: 8.429029            0.489263
7970: 8.422201            0.489877
7980: 8.415387            0.490492
7990: 8.408587            0.491107
8000: 8.401797            0.491721
8010: 8.395021            0.492336
8020: 8.388258            0.492951
8030: 8.381506            0.493565
8040: 8.374768            0.494180
8050: 8.368042            0.494794
8060: 8.361328            0.495409
8070: 8.354627            0.496024
8080: 8.347938            0.496638
8090: 8.341261            0.497253
8100: 8.334597            0.497868
8110: 8.327944            0.498482
8120: 8.321304            0.499097
8130: 8.314676            0.499712
8140: 8.308061            0.500326
8150: 8.301456            0.500941
8160: 8.294865            0.501556
8170: 8.288285            0.502170
8180: 8.281717            0.502785
8190: 8.275162            0.503400
8200: 8.268618            0.504014
8210: 8.262085            0.504629
8220: 8.255566            0.505244
8230: 8.249057            0.505858
8240: 8.242560            0.506473
8250: 8.236075            0.507087
8260: 8.229602            0.507702
8270: 8.223140            0.508317
8280: 8.216690            0.508931
8290: 8.210252            0.509546
8300: 8.203825            0.510161
8310: 8.197410            0.510775
8320: 8.191006            0.511390
8330: 8.184613            0.512005
8340: 8.178232            0.512619
8350: 8.171863            0.513234
8360: 8.165504            0.513849
8370: 8.159157            0.514463
8380: 8.152821            0.515078
8390: 8.146497            0.515693
8400: 8.140183            0.516307
8410: 8.133882            0.516922
8420: 8.127591            0.517537
8430: 8.121311            0.518151
8440: 8.115042            0.518766
8450: 8.108784            0.519381
8460: 8.102537            0.519995
8470: 8.096302            0.520610
8480: 8.090077            0.521224
8490: 8.083863            0.521839
8500: 8.077661            0.522454
8510: 8.071468            0.523068
8520: 8.065288            0.523683
8530: 8.059116            0.524298
8540: 8.052958            0.524912
8550: 8.046808            0.525527
8560: 8.040670            0.526142
8570: 8.034543            0.526756
8580: 8.028426            0.527371
8590: 8.022319            0.527986
8600: 8.016224            0.528600
8610: 8.010139            0.529215
8620: 8.004064            0.529830
8630: 7.998000            0.530444
8640: 7.991946            0.531059
8650: 7.985903            0.531674
8660: 7.979870            0.532288
8670: 7.973848            0.532903
8680: 7.967836            0.533517
8690: 7.961834            0.534132
8700: 7.955843            0.534747
8710: 7.949862            0.535361
8720: 7.943891            0.535976
8730: 7.937930            0.536591
8740: 7.931980            0.537205
8750: 7.926039            0.537820
8760: 7.920109            0.538435
8770: 7.914188            0.539049
8780: 7.908278            0.539664
8790: 7.902379            0.540279
8800: 7.896488            0.540893
8810: 7.890608            0.541508
8820: 7.884738            0.542123
8830: 7.878878            0.542737
8840: 7.873027            0.543352
8850: 7.867187            0.543967
8860: 7.861357            0.544581
8870: 7.855536            0.545196
8880: 7.849725            0.545811
8890: 7.843924            0.546425
8900: 7.838132            0.547040
8910: 7.832350            0.547654
8920: 7.826578            0.548269
8930: 7.820816            0.548884
8940: 7.815063            0.549498
8950: 7.809319            0.550113
8960: 7.803586            0.550728
8970: 7.797862            0.551342
8980: 7.792147            0.551957
8990: 7.786442            0.552572
9000: 7.780746            0.553186
9010: 7.775060            0.553801
9020: 7.769383            0.554416
9030: 7.763716            0.555030
9040: 7.758058            0.555645
9050: 7.752409            0.556260
9060: 7.746770            0.556874
9070: 7.741140            0.557489
9080: 7.735519            0.558104
9090: 7.729908            0.558718
9100: 7.724306            0.559333
9110: 7.718712            0.559947
9120: 7.713128            0.560562
9130: 7.707553            0.561177
9140: 7.701988            0.561791
9150: 7.696431            0.562406
9160: 7.690884            0.563021
9170: 7.685345            0.563635
9180: 7.679816            0.564250
9190: 7.674295            0.564865
9200: 7.668784            0.565479
9210: 7.663281            0.566094
9220: 7.657788            0.566709
9230: 7.652303            0.567323
9240: 7.646828            0.567938
9250: 7.641361            0.568553
9260: 7.635902            0.569167
9270: 7.630453            0.569782
9280: 7.625013            0.570397
9290: 7.619581            0.571011
9300: 7.614158            0.571626
9310: 7.608744            0.572241
9320: 7.603338            0.572855
9330: 7.597941            0.573470
9340: 7.592553            0.574084
9350: 7.587173            0.574699
9360: 7.581802            0.575314
9370: 7.576440            0.575928
9380: 7.571086            0.576543
9390: 7.565741            0.577158
9400: 7.560404            0.577772
9410: 7.555076            0.578387
9420: 7.549756            0.579002
9430: 7.544445            0.579616
9440: 7.539142            0.580231
9450: 7.533847            0.580846
9460: 7.528561            0.581460
9470: 7.523283            0.582075
9480: 7.518013            0.582690
9490: 7.512753            0.583304
9500: 7.507500            0.583919
9510: 7.502255            0.584534
9520: 7.497019            0.585148
9530: 7.491791            0.585763
9540: 7.486571            0.586378
9550: 7.481359            0.586992
9560: 7.476156            0.587607
9570: 7.470961            0.588221
9580: 7.465773            0.588836
9590: 7.460594            0.589451
9600: 7.455423            0.590065
9610: 7.450260            0.590680
9620: 7.445105            0.591295
9630: 7.439958            0.591909
9640: 7.434819            0.592524
9650: 7.429688            0.593139
9660: 7.424565            0.593753
9670: 7.419450            0.594368
9680: 7.414343            0.594983
9690: 7.409244            0.595597
9700: 7.404153            0.596212
9710: 7.399070            0.596827
9720: 7.393994            0.597441
9730: 7.388927            0.598056
9740: 7.383866            0.598671
9750: 7.378814            0.599285
9760: 7.373770            0.599900
9770: 7.368733            0.600514
9780: 7.363705            0.601129
9790: 7.358684            0.601744
9800: 7.353670            0.602358
9810: 7.348664            0.602973
9820: 7.343666            0.603588
9830: 7.338675            0.604202
9840: 7.333693            0.604817
9850: 7.328717            0.605432
9860: 7.323750            0.606046
9870: 7.318789            0.606661
9880: 7.313837            0.607276
9890: 7.308891            0.607890
9900: 7.303954            0.608505
9910: 7.299024            0.609120
9920: 7.294101            0.609734
9930: 7.289186            0.610349
9940: 7.284278            0.610964
9950: 7.279378            0.611578
9960: 7.274485            0.612193
9970: 7.269599            0.612808
9980: 7.264721            0.613422
9990: 7.259850            0.614037
10000: 7.254986            0.614652
10010: 7.250130            0.615266
10020: 7.245281            0.615881
10030: 7.240439            0.616495
10040: 7.235605            0.617110
10050: 7.230777            0.617725
